ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,d7c510da-7004-450a-af05-25263f5be248,15,,"[36.0, 37.6]",3788746,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Stefan de Vrij,7787.0,Center Back,2,Netherlands,941,['161fc410-f3d3-414b-a024-6b30e7254441'],10,,,,,,,,,,,,,,Netherlands,941,00:00:10.244,Ball Receipt*,
,,,,,,,,,,,,,,,2.662952,,,,,,,,,,,,0540b56f-7581-4728-879c-99e4f4677877,2081,,"[24.1, 48.8]",3788746,45,,,,-1.4792653,,Right Foot,,,,"[27.9, 7.4]",,High Pass,,41.57403,,,,Vitalii Mykolenko,20827.0,,True,,,,2,From Kick Off,Illia Zabarnyi,39136.0,Right Center Back,86,Ukraine,911,['55787fda-921e-485a-aace-baef0451b797'],10,,,,,,,,,,,,,,Ukraine,911,00:00:10.285,Pass,
,,,,,,,,,,,,,,,2.045396,,,,,,,,,,,,38471cf7-8b95-442d-87fe-4f96b68082e2,17,,"[41.9, 40.0]",3788746,0,,,,-1.5331572,,Right Foot,,,,"[42.8, 16.1]",,Ground Pass,,23.916939,,,,Daley Blind,3311.0,,,,,,1,From Kick Off,Stefan de Vrij,7787.0,Center Back,2,Netherlands,941,['e1d23b9b-4833-478b-8fb7-a5cccb6b1628'],12,,,,,,,,,,,,,,Netherlands,941,00:00:12.758,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,55787fda-921e-485a-aace-baef0451b797,2082,,"[27.9, 7.4]",3788746,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Vitalii Mykolenko,20827.0,Left Back,86,Ukraine,911,['0540b56f-7581-4728-879c-99e4f4677877'],12,,,,,,,,,,,,,,Ukraine,911,00:00:12.948,Ball Receipt*,
,,,"[25.9, 9.9]",,,,,,,,,,,,0.89619,,,,,,,,,,,,fe8225d0-1884-4f97-87e0-d46e0b935aed,2083,,"[27.9, 7.4]",3788746,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Vitalii Mykolenko,20827.0,Left Back,86,Ukraine,911,"['0918ef36-2b30-4edc-8f1c-bcaea69a90ab', '55787fda-921e-485a-aace-baef0451b797', '6cbec8f5-e09f-4d8e-bc4d-7e239373ffed']",12,,,,,,,,,,,,,,Ukraine,911,00:00:12.948,Carry,True
,,,,,,,,,,,,,,,0.57544,,,,,,,,,,,,6cbec8f5-e09f-4d8e-bc4d-7e239373ffed,2084,,"[87.7, 72.7]",3788746,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Denzel Dumfries,8125.0,Right Wing Back,86,Ukraine,911,"['0918ef36-2b30-4edc-8f1c-bcaea69a90ab', 'fe8225d0-1884-4f97-87e0-d46e0b935aed']",13,,,,,,,,,,,,,,Netherlands,941,00:00:13.520,Pressure,
,,,,,,,,,,,,,,,0.977765,,,,,,,,,,,,0918ef36-2b30-4edc-8f1c-bcaea69a90ab,2085,,"[25.9, 9.9]",3788746,45,,,,2.5254982,,Left Foot,,,,"[12.2, 19.6]",,Ground Pass,,16.786304,,,,Mykola Matviyenko,18617.0,,,,,,2,From Kick Off,Vitalii Mykolenko,20827.0,Left Back,86,Ukraine,911,"['6cbec8f5-e09f-4d8e-bc4d-7e239373ffed', 'd5fa453b-7d7e-4443-91b7-ee756d3ceac7']",13,,,,,,,,,,,,,,Ukraine,911,00:00:13.844,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,e1d23b9b-4833-478b-8fb7-a5cccb6b1628,18,,"[42.8, 16.1]",3788746,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Center Back,2,Netherlands,941,['38471cf7-8b95-442d-87fe-4f96b68082e2'],14,,,,,,,,,,,,,,Netherlands,941,00:00:14.803,Ball Receipt*,
,,,"[43.3, 16.5]",,,,,,,,,,,,0.827967,,,,,,,,,,,,971a32e5-a66d-494c-b14a-3949d6bffd45,19,,"[42.8, 16.1]",3788746,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Center Back,2,Netherlands,941,"['8b70998d-0728-41ee-91e4-f8e73a483323', 'e1d23b9b-4833-478b-8fb7-a5cccb6b1628']",14,,,,,,,,,,,,,,Netherlands,941,00:00:14.803,Carry,
,,,"[13.5, 4.3]",,,,,,,,,,,,1.816154,,,,,,,,,,,,2669a24f-f4e4-4bda-80f0-0e552e5ddc07,2087,,"[12.2, 19.6]",3788746,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Mykola Matviyenko,18617.0,Left Center Back,86,Ukraine,911,"['7b305a3d-29e5-4e16-b76c-a5fd2eb7d789', '934c1dbf-c361-4e17-b3b0-a6d6668eebb3', 'd5fa453b-7d7e-4443-91b7-ee756d3ceac7']",14,,,,,,,,,,,,,,Ukraine,911,00:00:14.822,Carry,True
